RK,NAME,WEEK,RESULT,QBR,PAA,PLAYS,EPA,PASS,RUN,SACK,PEN,RAW,YEAR
2,Aaron RodgersGB,20,L28-22at SEA,54.9,-0.7,43,3,1.1,0.9,-0.5,0.4,44.5,2014
3,Andrew LuckIND,20,L45-7at NE,35.7,-1.9,38,1.1,0.6,0.2,0,0.3,32.7,2014
4,Russell WilsonSEA,20,W28-22vs. GB,25.3,-3.1,43,0.7,-2.1,1.5,-1.5,-0.2,26.2,2014
1,Russell WilsonSEA,22,L28-24vs. NE,92.9,5.1,28,7.6,5,1.7,-1.1,-0.1,93,2014
2,Tom BradyNE,22,W28-24at SEA,87.5,6.4,54,11.1,10.6,0,-0.4,0.1,84.2,2014
1,Marcus MariotaTEN,1,W42-14at TB,95.6,5.4,23,4.6,4.2,-0.4,-0.7,0.1,96.5,2015
2,Tom BradyNE,1,W28-21vs. PIT,92.2,6.5,38,8.7,6.7,0.2,-1.2,0.6,91.8,2015
3,Tyrod TaylorBUF,1,W27-14vs. IND,91.7,4.7,24,5.6,4.8,0.8,0,0,94.2,2015
4,Ben RoethlisbergerPIT,1,L28-21at NE,85.3,4.1,43,5.8,5.1,0,-0.5,0.2,79.2,2015
5,Aaron RodgersGB,1,W31-23at CHI,84.7,4.8,34,7.7,5.4,1.8,0,0.5,87.8,2015
6,Andy DaltonCIN,1,W33-13at OAK,83.2,4,39,5,5.1,-0.3,0,0.1,81,2015
7,Colin KaepernickSF,1,W20-3vs. MIN,79.8,3.6,35,6.5,2.2,3.6,-0.2,0.3,81.1,2015
8,Tony RomoDAL,1,W27-26vs. NYG,72.6,5.9,47,10.1,9.5,0,0,0.5,85.5,2015
9,Carson PalmerARI,1,W31-19vs. NO,71.6,5,38,8.5,8.2,-1,0,1.2,86.7,2015
10,Ryan FitzpatrickNYJ,1,W31-10vs. CLE,69.1,2.5,25,4.4,4.1,0,0,0.2,80.1,2015
11,Philip RiversSD,1,W33-28vs. DET,60.5,2.6,46,6.6,5.2,0,-1.1,0.3,69,2015
12,Alex SmithKC,1,W27-20at HOU,60,-0.7,43,2.3,1.6,-0.5,-0.7,0.4,44.1,2015
13,Matt RyanATL,1,W26-24vs. PHI,56.9,1.3,40,4.8,4,0.3,-0.3,0.2,61.5,2015
14,Ryan TannehillMIA,1,W17-10at WSH,55.5,0.4,41,4.2,2.6,-0.1,-1.9,-0.3,53.3,2015
15,Matt McGloinOAK,1,L33-13vs. CIN,54.2,-0.3,35,0.9,0.5,0,-0.4,0,47.5,2015
16,Andrew LuckIND,1,L27-14at BUF,53.5,-0.7,60,3.1,2.3,0.5,-0.5,-0.2,45.8,2015
17,Sam BradfordPHI,1,L26-24at ATL,49.8,0.9,54,5.8,6.1,0,0,-0.3,56.1,2015
18,Blake BortlesJAX,1,L20-9vs. CAR,49.5,-1.4,48,2.7,0.2,0.9,-1.6,0,39.8,2015
19,Eli ManningNYG,1,L27-26at DAL,49.3,-0.1,39,3.3,1.9,1.2,-0.3,0,48.7,2015
20,Russell WilsonSEA,1,L34-31at STL,48.9,-2.1,56,3,1.3,0,-2.1,-0.4,36.9,2015
21,Nick FolesSTL,1,W34-31vs. SEA,48.5,0,38,3.5,3.1,-0.9,-1.2,0.1,50.1,2015
22,Cam NewtonCAR,1,W20-9at JAX,43.2,-0.1,46,4.1,2.4,0.3,-1.3,0.1,49.5,2015
23,Johnny ManzielCLE,1,L31-10at NYJ,43,-1.6,36,1.2,1.4,-0.2,-0.4,-0.4,34.8,2015
24,Drew BreesNO,1,L31-19at ARI,42,-3,54,1.8,1.1,0.1,-0.4,0.2,31.2,2015
25,Jay CutlerCHI,1,L31-23vs. GB,38.4,-2,47,2.1,-0.3,1.2,-1.2,0.1,35.4,2015
26,Kirk CousinsWSH,1,L17-10vs. MIA,34.7,-1.2,40,2.5,3.8,-1.7,-0.5,0,39.7,2015
27,Joe FlaccoBAL,1,L19-13at DEN,26.2,-4.1,35,-0.9,-2.3,0,-1.2,0.2,16,2015
28,Matthew StaffordDET,1,L33-28at SD,22.3,-3.2,31,-0.2,-1,0,-0.8,0,19,2015
29,Peyton ManningDEN,1,W19-13vs. BAL,19.3,-4,52,0.8,-0.8,0,-1.9,-0.3,25.2,2015
30,Brian HoyerHOU,1,L27-20vs. KC,18.9,-4.7,39,-0.7,-1.9,0,-1.2,-0.1,15.4,2015
31,Teddy BridgewaterMIN,1,L20-3at SF,17.1,-3.8,42,0.1,-2.9,0.6,-2.4,0,21.9,2015
32,Jameis WinstonTB,1,L42-14vs. TEN,6.4,-7.6,46,-1.3,-1.1,-0.7,-0.4,0,8.9,2015
1,Carson PalmerARI,2,W48-23at CHI,98.6,8.9,28,8.2,6.1,0,0,2,98.9,2015
2,Ben RoethlisbergerPIT,2,W43-18vs. SF,96.3,8.7,32,8.8,8.5,0,0,0.3,97.9,2015
3,Teddy BridgewaterMIN,2,W26-16vs. DET,91.7,5.6,27,6.6,4,2.4,-0.3,-0.1,95,2015
4,Blake BortlesJAX,2,W23-20vs. MIA,89.2,5.9,36,9.2,6.5,2.2,0,0.5,91.1,2015
5,Tom BradyNE,2,W40-32at BUF,82.7,6.1,68,9.1,8.2,0,-0.4,0.5,77.9,2015
6,Matt RyanATL,2,W24-20at NYG,81.8,7,49,11.5,10.2,0,-1,0.2,88.3,2015
7,Kirk CousinsWSH,2,W24-10vs. STL,80,2.6,32,5.1,3.6,0,-1.2,0.3,76.3,2015
8,Peyton ManningDEN,2,W31-24at KC,78.8,2.8,51,7.4,5.6,0,-1.5,0.2,68.7,2015
9,Aaron RodgersGB,2,W27-17vs. SEA,78.7,4.4,45,8.2,6.8,0.1,-0.8,0.5,79.7,2015
10,Joe FlaccoBAL,2,L37-33at OAK,78,4.5,57,9.5,9.1,0.1,0,0.3,75.3,2015
11,Derek CarrOAK,2,W37-33vs. BAL,75.5,5.8,56,10.8,8.1,1.5,-0.6,0.7,81.3,2015
12,Russell WilsonSEA,2,L27-17at GB,73.5,1.9,44,5.4,1.9,2.7,-0.5,0.2,64.9,2015
13,Ryan FitzpatrickNYJ,2,W20-7at IND,67.6,2.1,42,5.6,4.3,0.3,-0.3,0.8,67.2,2015
14,Matthew StaffordDET,2,L26-16at MIN,66.5,2.2,64,5.8,5.3,-0.3,-0.1,0.7,62.1,2015
15,Andy DaltonCIN,2,W24-19vs. SD,64.6,1.5,31,4.3,4.6,-0.1,0,-0.3,66.3,2015
16,Ryan TannehillMIA,2,L23-20at JAX,62.3,2.8,52,7.4,6.1,0.7,-0.9,-0.3,68.1,2015
17,Ryan MallettBAL,2,L24-17at CAR,59.1,-1.4,64,4.4,2.1,1.6,-0.5,0.2,42.5,2015
18,Cam NewtonCAR,2,W24-17vs. HOU,57.4,-0.2,52,4.5,0,2.9,-1,0.5,48.3,2015
19,Jameis WinstonTB,2,W26-19at NO,55.8,2.2,35,5.2,1.3,1.4,-1.6,0.8,71.2,2015
20,Philip RiversSD,2,L24-19at CIN,53.9,-1,37,2.1,0.3,-0.4,-2.2,0,40.3,2015
21,Tony RomoDAL,2,W20-10at PHI,47.4,-0.5,38,3,1.5,0.2,-1.2,0,45.3,2015
22,Tyrod TaylorBUF,2,L40-32vs. NE,44.1,-1.2,45,2,-3.3,2,-2.5,0.9,40.6,2015
23,Eli ManningNYG,2,L24-20vs. ATL,43.3,0.9,49,5.3,4,0.3,-1,0,56.5,2015
24,Colin KaepernickSF,2,L43-18at PIT,42.3,-3,66,1.5,0.8,-1.6,-1.9,0.4,34.2,2015
25,Marcus MariotaTEN,2,L28-14at CLE,31.2,-2.1,50,1.7,-1.1,1.4,-1.8,-0.4,35.7,2015
26,Andrew LuckIND,2,L20-7vs. NYJ,29.7,-2.7,41,1,0.3,0.8,0,-0.1,28.3,2015
27,Drew BreesNO,2,L26-19vs. TB,22.7,-2.4,49,1.8,-0.1,0,-2,0,33.1,2015
28,Alex SmithKC,2,L31-24vs. DEN,10.1,-6.4,36,-2.9,-3.2,-0.8,-1.3,-0.2,7.4,2015
29,Nick FolesSTL,2,L24-10at WSH,8.5,-6.6,38,-2.3,-0.9,-1.9,-0.6,0,7.9,2015
30,Jimmy ClausenBAL,2,L48-23vs. ARI,3.3,-8.4,33,-3.1,-2.8,-0.9,-0.6,-0.1,2.7,2015
31,Sam BradfordPHI,2,L20-10vs. DAL,2.7,-10.3,44,-4.9,-5.1,-1,-0.3,0.9,3.5,2015
1,Eli ManningNYG,3,W32-21vs. WSH,92.8,6.6,34,8.4,8.6,0,0,-0.2,94,2015
2,Luke McCownNO,3,L27-22at CAR,92.4,5.8,45,9.4,9.4,0,-0.2,-0.1,86.1,2015
3,Matt RyanATL,3,W39-28at DAL,91.8,7.1,42,10.2,8,1.7,-0.5,0.1,91.6,2015
4,Tyrod TaylorBUF,3,W41-14at MIA,91.7,5.4,33,5.3,5.2,0,0,0,91.2,2015
5,Andy DaltonCIN,3,W28-24at BAL,91.1,7.4,44,10.1,6,2.3,-1.1,0.7,91.6,2015
6,Aaron RodgersGB,3,W38-28vs. KC,88.1,5.1,41,7,5.1,1,-0.6,0.2,85.2,2015
7,Tom BradyNE,3,W51-17vs. JAX,85.4,8,49,8.2,6.9,0.2,-0.4,0.8,90.9,2015
8,Cam NewtonCAR,3,W27-22vs. NO,77.3,6.2,40,9.8,5.6,3.6,-0.5,0.1,89.8,2015
9,Ben RoethlisbergerPIT,3,W12-6at STL,74.4,1.3,31,4.1,2.6,0,-1,0.5,63.9,2015
10,Joe FlaccoBAL,3,L28-24vs. CIN,72.1,2.4,50,6.5,6.6,0,0,-0.1,66.3,2015
11,Peyton ManningDEN,3,W24-12at DET,71.1,3.2,45,7.2,6.7,0,-0.6,0,73,2015
12,Carson PalmerARI,3,W47-7vs. SF,62,2.7,36,3.2,3.5,-0.3,-0.2,-0.3,74.6,2015
13,Derek CarrOAK,3,W27-20at CLE,61.4,1.7,37,4.7,4.8,0,0,-0.1,66.1,2015
14,Josh McCownCLE,3,L27-20vs. OAK,59.9,2.3,61,6.3,4.7,0,-1.5,0.1,62.9,2015
15,Ryan MallettBAL,3,W19-9vs. TB,53.9,2.2,46,6.4,5.2,0,-0.2,1,66.3,2015
16,Teddy BridgewaterMIN,3,W31-14vs. SD,53.4,0.4,26,2.6,1.5,0,0,1.2,55.3,2015
17,Philip RiversSD,3,L31-14at MIN,37.8,-1.9,40,1.4,-0.4,0,-1.9,-0.1,33.4,2015
18,Nick FolesSTL,3,L12-6vs. PIT,35.9,-1.5,34,1.6,0.3,-0.3,-0.8,0.7,34.4,2015
19,Jameis WinstonTB,3,L19-9at HOU,32.3,-3.8,39,-0.2,0.2,0,0,-0.4,20,2015
20,Matthew StaffordDET,3,L24-12vs. DEN,32.1,-4.3,55,0.7,-1.5,0,-1.5,0.7,25.1,2015
21,Brandon WeedenHOU,3,L39-28vs. ATL,31.5,-0.5,30,1.9,1.2,0,-0.9,-0.2,43.9,2015
22,Blake BortlesJAX,3,L51-17at NE,31.2,-3.3,38,0.2,-0.7,-0.2,-1,0,22.9,2015
23,Sam BradfordPHI,3,W24-17at NYJ,30.7,-2.7,33,0.3,-0.2,0,-0.3,0.2,23.9,2015
24,Marcus MariotaTEN,3,L35-33vs. IND,30.6,-2,50,2.5,1.1,0,-1.2,0.1,36.4,2015
25,Russell WilsonSEA,3,W26-0vs. CHI,29.6,-0.9,41,1.9,0.5,-0.5,-2,-0.1,41.9,2015
26,Andrew LuckIND,3,W35-33at TEN,26.1,-2.7,41,1,0,0,-1.5,-0.5,28.4,2015
27,Ryan FitzpatrickNYJ,3,L24-17vs. PHI,24.9,-4.3,67,1.4,0.4,0.6,-0.2,0.2,28.6,2015
28,Kirk CousinsWSH,3,L32-21at NYG,23.6,-2.5,54,1.3,1.4,0,-0.1,-0.3,34.1,2015
29,Ryan TannehillMIA,3,L41-14vs. BUF,15.3,-7.1,58,-0.8,-1.1,0,-0.1,0.1,14.9,2015
30,Alex SmithKC,3,L38-28at GB,14.3,-9,58,-1.6,-3.1,-0.3,-1.6,0.2,10,2015
31,Jimmy ClausenBAL,3,L26-0at SEA,12.5,-3.8,25,-1.2,-1.8,0.4,-0.6,-0.4,10.4,2015
32,Colin KaepernickSF,3,L47-7at ARI,4,-7.5,29,-2.2,-4.1,1.7,-0.3,-0.1,2.5,2015
1,Andy DaltonCIN,4,W36-21vs. KC,95.7,6,30,8.4,8,0.5,0,-0.1,94.5,2015
2,Ryan FitzpatrickNYJ,4,W27-14at MIA,89.7,6.3,40,7.8,5,2.8,0,0,90.4,2015
3,Kirk CousinsWSH,4,W23-20vs. PHI,85.2,7.1,50,11.6,10.2,0,-0.3,1.2,88.1,2015
4,Teddy BridgewaterMIN,4,L23-20at DEN,83.6,4,56,8.8,2.8,2.6,-2.9,0.6,73.2,2015
5,Sam BradfordPHI,4,L23-20at WSH,79.6,3.1,34,5.7,3.2,1,-1.4,0,78.1,2015
6,Nick FolesSTL,4,W24-22at ARI,79.4,1.7,28,4.3,3.7,0,-0.7,-0.1,70.7,2015
7,Matt RyanATL,4,W48-21vs. HOU,77.8,2,31,3.5,2.8,0,-0.9,-0.1,70.9,2015
8,Blake BortlesJAX,4,L16-13at IND,75.6,4.6,56,9.8,6.9,1.4,-0.7,0.7,76.1,2015
9,Brian HoyerHOU,4,L48-21at ATL,74.2,2.9,31,1.4,1.4,0,0,0,78.7,2015
10,Aaron RodgersGB,4,W17-3at SF,73.4,3.7,40,6.8,5,1.3,-0.8,-0.3,79,2015
11,Drew BreesNO,4,W26-20vs. DAL,64.4,2.8,47,7.1,5,0,-1.7,0.4,69.9,2015
12,Josh McCownCLE,4,L30-27at SD,61.4,0.9,50,5.5,3.1,0,-1.7,0.7,56.5,2015
13,Carson PalmerARI,4,L24-22vs. STL,61.1,0.9,52,5.6,3.2,0,-1.8,0.6,55.8,2015
14,Matthew StaffordDET,4,L13-10at SEA,58.5,0.3,35,3.5,3.5,0,0,0,53.1,2015
15,Alex SmithKC,4,L36-21at CIN,58.3,-0.9,58,3.8,1.2,0.4,-2.2,-0.1,44.7,2015
16,Brandon WeedenHOU,4,L26-20at NO,53.9,1.9,33,5,3.8,-1,-1.5,0.7,69.6,2015
17,Jay CutlerCHI,4,W22-20vs. OAK,51.8,0.8,49,5.3,4.7,0,-0.7,-0.1,55.7,2015
18,Peyton ManningDEN,4,W23-20vs. MIN,49.5,0.2,35,3.3,1.3,0,-1,0.9,51.6,2015
19,Philip RiversSD,4,W30-27vs. CLE,47.4,1.3,48,5.7,3.9,0,-1,0.8,59.3,2015
20,Matt HasselbeckIND,4,W16-13vs. JAX,43.2,1,56,6.2,3.9,0,-1.5,0.8,56.4,2015
21,Russell WilsonSEA,4,W13-10vs. DET,42.4,0.3,41,3.9,1,0.3,-2.6,0,52.6,2015
22,Eli ManningNYG,4,W24-10at BUF,38.6,-2.3,42,1.4,1.2,0,-0.2,0,31.7,2015
23,Jameis WinstonTB,4,L37-23vs. CAR,26.3,-5,49,-0.3,-2.6,1.1,-1.1,0.1,19.3,2015
24,Joe FlaccoBAL,4,W23-20at PIT,22.9,-4.4,40,-0.7,-2.1,-0.9,-2.1,0.1,17.3,2015
25,Colin KaepernickSF,4,L17-3vs. GB,19.2,-4.5,41,-0.6,-3,0.4,-2.6,-0.5,17.2,2015
26,Tyrod TaylorBUF,4,L24-10vs. NYG,18.7,-2.7,57,1.8,3.1,-2,-0.2,0.5,33.8,2015
27,Ryan TannehillMIA,4,L27-14vs. NYJ,17.2,-6.8,54,-1.2,-3.5,0,-1.3,0.9,14.5,2015
28,Mike VickPIT,4,L23-20vs. BAL,17,-3.5,40,0.2,-3.2,1.2,-2.3,-0.2,22.4,2015
29,Cam NewtonCAR,4,W37-23at TB,14.6,-3.7,34,-0.4,0,-1,-0.7,-0.1,17.9,2015
30,Derek CarrOAK,4,L22-20at CHI,12.4,-4.3,36,-0.9,-0.5,-1.5,-1,0,15.6,2015
31,Ryan MallettBAL,4,L48-21at ATL,4.6,-5.7,29,-1.5,-1.4,0,0,0,5.9,2015
1,Brian HoyerHOU,5,L27-20vs. IND,90,6.1,35,8.8,8.5,0.3,0,0.1,92.1,2015
2,Matt HasselbeckIND,5,W27-20at HOU,86.9,2.9,33,5.7,5.1,0,0,0.6,77.7,2015
3,Eli ManningNYG,5,W30-27vs. SF,86.1,10,59,15.3,14.8,0.3,0,0.2,91.7,2015
4,Tyrod TaylorBUF,5,W14-13at TEN,82.9,3.5,29,6.1,-2.1,6.3,-2.3,-0.4,84.6,2015
5,Colin KaepernickSF,5,L30-27at NYG,79.4,5.7,43,9.1,5.4,2.6,-0.5,0.7,86.6,2015
6,Blake BortlesJAX,5,L38-31at TB,77.1,4.5,44,7.2,2.9,1.3,-2.1,0.9,81.1,2015
7,Josh McCownCLE,5,W33-30at BAL,70.2,4.2,65,10.1,5.8,1.4,-2.6,0.3,71.5,2015
8,Andy DaltonCIN,5,W27-24vs. SEA,69.9,4,62,8.9,7,-0.3,-1.3,1,71.2,2015
9,Jay CutlerCHI,5,W18-17at KC,66.5,0.6,55,5.2,2.4,0.8,-1.5,0.4,54,2015
10,Dan OrlovskyDET,5,L42-17vs. ARI,62.6,0.9,41,1.2,1.2,0,0,0,58.1,2015
11,Marcus MariotaTEN,5,L14-13vs. BUF,58.1,0.9,42,4.8,0.8,1.9,-1.1,1,57.4,2015
12,Philip RiversSD,5,L24-20vs. PIT,53.1,0.2,54,5.2,4.1,0,-0.8,0.3,51.5,2015
13,Matt RyanATL,5,W25-19vs. WSH,52.5,1,51,5.8,3.6,1.1,-1,0,57.2,2015
14,Russell WilsonSEA,5,L27-24at CIN,44.3,-1.8,33,1.2,-1.5,1,-1.7,-0.1,31.5,2015
15,Matthew StaffordDET,5,L42-17vs. ARI,44,-1.1,37,2,1.3,0.1,-0.1,0.4,39.4,2015
16,Jameis WinstonTB,5,W38-31vs. JAX,42.3,0.5,29,2.9,1.9,0.1,-1.3,-0.3,55.5,2015
17,Mike VickPIT,5,W24-20at SD,40.7,-1.2,30,1.5,-1.3,1.6,-1.3,-0.1,35.9,2015
18,Derek CarrOAK,5,L16-10vs. DEN,38,-2.8,47,1.5,-0.6,0,-1.8,0.3,30.2,2015
19,Kirk CousinsWSH,5,L25-19at ATL,35.2,-1,38,2.6,0.6,0.7,-0.2,1,41.2,2015
20,Tom BradyNE,5,W30-6at DAL,35,-1.6,35,1.4,-0.7,0.1,-2,0,34.4,2015
21,Aaron RodgersGB,5,W24-10vs. STL,33.1,-2.9,45,1.1,-1.7,1.8,-0.8,0.2,28.5,2015
22,Peyton ManningDEN,5,W16-10at OAK,32.5,-2.4,39,1.2,-0.4,0,-0.8,0.7,29.3,2015
23,Joe FlaccoBAL,5,L33-30vs. CLE,28.8,-1.2,39,2.4,1.1,0.7,-0.6,0,39.5,2015
24,Alex SmithKC,5,L18-17vs. CHI,26.4,-1.2,36,1.8,-0.2,0.9,-1,0.1,38.2,2015
25,Brandon WeedenHOU,5,L30-6vs. NE,24.1,-4.5,49,0,-2,0.7,-1.1,0.3,21.5,2015
26,Drew BreesNO,5,L39-17at PHI,22,-4.6,48,-0.1,-2,0,-1.9,0,20.5,2015
27,Sam BradfordPHI,5,W39-17vs. NO,13.6,-3.2,51,1.2,1.7,-0.8,0,0.4,28.9,2015
28,Nick FolesSTL,5,L24-10at GB,2.5,-11,38,-6.1,-7.7,0.1,-1.2,0.3,1.7,2015
1,Ryan FitzpatrickNYJ,6,W34-20vs. WSH,98.1,8.1,28,9.5,5.6,3.9,0,0,98.4,2015
2,Andy DaltonCIN,6,W34-21at BUF,92.4,5.6,34,7.2,7.2,0,0,-0.1,91.1,2015
3,Brian HoyerHOU,6,W31-20at JAX,85.4,6,42,9.7,8.3,0.7,-0.5,0.2,88.3,2015
4,Matthew StaffordDET,6,W37-34vs. CHI,84.7,8.1,51,12.8,9,1.8,-1.5,0.5,90.5,2015
5,Philip RiversSD,6,L27-20at GB,82.5,5.8,72,12.1,9.7,0,-1.6,0.8,75.9,2015
6,Drew BreesNO,6,W31-21vs. ATL,82.4,6.3,43,9.5,9.5,-0.2,-0.3,-0.2,88.8,2015
7,Tom BradyNE,6,W34-27at IND,76.2,3.6,44,7.2,6.6,-0.2,-0.6,0.2,75.9,2015
8,Andrew LuckIND,6,L34-27vs. NE,74.5,4,61,7.4,3.6,2.4,-1.3,0.2,71.7,2015
9,Russell WilsonSEA,6,L27-23vs. CAR,72.4,1.7,42,5.1,2.6,0.5,-2,0,63.9,2015
10,EJ ManuelBUF,6,L34-21vs. CIN,70.4,2.2,51,4.8,4.1,0.9,-0.1,-0.3,64.5,2015
11,Jay CutlerCHI,6,L37-34at DET,66.3,2.7,49,7.1,5.3,1.1,0,0.7,68.4,2015
12,Carson PalmerARI,6,L25-13at PIT,66.2,1.1,48,4.7,5.7,-1.7,-0.4,0.3,58.2,2015
13,Aaron RodgersGB,6,W27-20vs. SD,65.5,2,39,5.2,1,1.6,-1.6,1,67.1,2015
14,Colin KaepernickSF,6,W25-20vs. BAL,65.3,2.6,37,5.7,3.6,0.7,-1.1,0.3,72.6,2015
15,Blake BortlesJAX,6,L31-20vs. HOU,64.5,1.1,64,5.4,1.5,2.4,-1.1,0.5,55.8,2015
16,Alex SmithKC,6,L16-10at MIN,56.6,0.2,43,4,2.9,0.1,-1.2,-0.3,51.8,2015
17,Cam NewtonCAR,6,W27-23at SEA,56.5,0.2,48,4.5,2.1,0.9,-1.6,-0.1,51.2,2015
18,Matt RyanATL,6,L31-21at NO,55.5,3.8,53,6.2,4.5,0.6,-1.1,0,73.3,2015
19,Ryan TannehillMIA,6,W38-10at TEN,50,0.3,36,2.7,1.2,0.5,-0.6,0.4,53,2015
20,Teddy BridgewaterMIN,6,W16-10vs. KC,44.2,-1.2,35,2,1.2,0,-1,-0.2,38.2,2015
21,Kirk CousinsWSH,6,L34-20at NYJ,43.5,-2,46,1.7,1.2,0.1,-0.4,0,35.3,2015
22,Joe FlaccoBAL,6,L25-20at SF,40.2,-0.3,54,4.1,4.1,0,0,-0.1,47.9,2015
23,Peyton ManningDEN,6,W26-23at CLE,19.4,-4.2,49,0.3,0.3,0,0,0,22.7,2015
24,Josh McCownCLE,6,L26-23vs. DEN,17.2,-6.9,51,-2.1,-5.2,0.9,-2.1,0.1,12.8,2015
25,Eli ManningNYG,6,L27-7at PHI,14.6,-6.2,47,-1.4,-4,0.1,-1.5,0.9,13.5,2015
26,Sam BradfordPHI,6,W27-7vs. NYG,11.6,-3.8,44,0.2,1.3,-0.9,-0.1,-0.2,22.6,2015
27,Marcus MariotaTEN,6,L38-10vs. MIA,4.3,-8.1,40,-3.3,-5.6,0,-2.5,-0.2,5.3,2015
1,Ryan TannehillMIA,7,W44-26vs. HOU,94.7,4.4,25,3.2,2.9,-0.1,-0.5,-0.1,92.5,2015
2,Tom BradyNE,7,W30-23vs. NYJ,88.7,8.7,62,14.4,10.3,2.7,-1.5,-0.1,88,2015
3,Derek CarrOAK,7,W37-29at SD,86,4.1,36,4.5,4.1,0.2,-0.3,0,83.3,2015
4,Alex SmithKC,7,W23-13vs. PIT,77.4,3,36,6.2,5.2,0.4,-0.7,-0.1,76.2,2015
5,Ryan FitzpatrickNYJ,7,L30-23at NE,75.3,2.4,50,6.3,4.7,0.8,-0.4,0.4,66.7,2015
6,Joe FlaccoBAL,7,L26-18at ARI,75,2,44,5.2,3.8,0,-1.6,-0.2,65.2,2015
7,Jameis WinstonTB,7,L31-30at WSH,72.2,2.1,35,4.5,4.7,-0.4,-0.5,-0.3,70.4,2015
8,Carson PalmerARI,7,W26-18vs. BAL,68.3,2.7,34,5.1,4.3,-0.2,-0.8,0.2,75.2,2015
9,Kirk CousinsWSH,7,W31-30vs. TB,67.6,4.3,49,7.9,6.9,0.7,-0.6,-0.2,77.8,2015
10,Russell WilsonSEA,7,W20-3at SF,66,2.3,34,3.8,2.3,0.7,-0.9,-0.2,72.6,2015
11,Blake BortlesJAX,7,W34-31vs. BUF,64.3,1.2,39,4.3,3.4,-0.1,-0.5,0.5,60.3,2015
12,Teddy BridgewaterMIN,7,W28-19at DET,57.8,1.2,42,4.8,4.2,-1.8,-2.1,0.3,60.1,2015
13,Drew BreesNO,7,W27-21at IND,55.5,0.7,47,3.6,2.5,0,-0.8,0.3,55,2015
14,Matt RyanATL,7,W10-7at TEN,54,0.8,39,4.4,4.2,0,0,0.2,56.9,2015
15,Josh McCownCLE,7,L24-6at STL,53.8,-1.2,50,2.9,0.4,0.3,-1.8,0.4,41.6,2015
16,Sam BradfordPHI,7,L27-16at CAR,42.6,-4,58,1.2,-1.5,0.6,-1.9,0.3,27.5,2015
17,Eli ManningNYG,7,W27-20vs. DAL,38.5,-0.4,27,2.1,0.4,0,-1.4,0.3,44.6,2015
18,Brian HoyerHOU,7,L44-26at MIA,38.2,-2.2,58,1.2,0.7,0,-0.3,0.2,36.7,2015
19,Matthew StaffordDET,7,L28-19vs. MIN,35.9,-1.2,37,1.7,-1.8,0,-3.1,0.4,38.5,2015
20,Philip RiversSD,7,L37-29vs. OAK,33.6,-2.6,67,1.5,1.3,0,-0.1,0.1,36.4,2015
21,Nick FolesSTL,7,W24-6vs. CLE,29.7,-0.8,28,1.7,0.1,0,-0.8,0.8,40.5,2015
22,Landry JonesPIT,7,L23-13at KC,28.2,-3.4,33,-0.3,-1.4,0,-1,0.1,18.8,2015
23,Cam NewtonCAR,7,W27-16vs. PHI,27.9,-1.8,33,1.2,-0.7,1.4,-0.5,0,31.9,2015
24,Zach MettenbergerTEN,7,L10-7vs. ATL,22.8,-1.8,37,1.7,1.3,0,-0.5,-0.1,33.8,2015
25,EJ ManuelBUF,7,L34-31at JAX,14.6,-5.6,58,-0.2,-2.9,0.5,-2.1,0.1,20.1,2015
26,Andrew LuckIND,7,L27-21vs. NO,9.1,-5.3,55,-0.1,-1.9,0.4,-1.3,0.1,20.5,2015
27,Matt CasselDAL,7,L27-20at NYG,7.8,-4.5,33,-1.5,-1.7,0.1,-0.2,0,12.5,2015
28,Colin KaepernickSF,7,L20-3vs. SEA,7.8,-5.4,32,-1.7,-2.7,0,-1,0,8.3,2015
,Alex SmithKC,8,W45-10vs. DET,95.9,8.6,36,7.8,0.6,6.1,-0.9,0.3,96.7,2015
1,Peyton ManningDEN,8,W29-10vs. GB,95.1,6.2,31,7.5,7.7,0,0,-0.2,94.5,2015
2,Derek CarrOAK,8,W34-20vs. NYJ,93.6,7,38,7.5,7.1,0,0,0.4,93.2,2015
3,Philip RiversSD,8,L29-26at BAL,90.3,6.9,41,10.7,9.5,0,-0.8,0.4,91.5,2015
4,Carson PalmerARI,8,W34-20at CLE,90.2,7.5,44,10.8,8.6,1.3,-0.4,0.4,91.9,2015
5,Jameis WinstonTB,8,W23-20at ATL,88.5,6.3,39,9.5,3.7,2.9,-0.7,2.1,90.8,2015
6,Jay CutlerCHI,8,L23-20vs. MIN,88.2,5.5,37,8.9,6.8,1.6,-0.6,-0.1,89.1,2015
7,Eli ManningNYG,8,L52-49at NO,87.4,9.2,50,13.1,11.1,0,-1.4,0.6,93.1,2015
8,Drew BreesNO,8,W52-49vs. NYG,80.9,8.9,56,13.9,14.2,-0.1,0,-0.2,90.4,2015
9,Aaron RodgersGB,8,L29-10at DEN,78.2,1.6,34,3.8,-0.1,2.2,-0.7,0.9,65.8,2015
10,Joe FlaccoBAL,8,W29-26vs. SD,68,2.8,45,6.9,4.6,0.1,-1.8,0.4,70.6,2015
11,Matt RyanATL,8,L23-20vs. TB,67.7,5.1,55,9.4,10.5,-1.8,-0.3,0.3,78.8,2015
12,Tom BradyNE,8,W36-7vs. MIA,61.2,2.2,46,5.2,3.8,0.7,-0.7,0,66.2,2015
13,Nick FolesSTL,8,W27-6vs. SF,58.3,1.6,25,3.6,3.4,0,0,0.2,71.6,2015
