,Year,Week,Attendance,Team
7704,2014,4,67582.63539030563,Cleveland Browns
7705,2014,5,69143.0,Cleveland Browns
7706,2014,6,67431.0,Cleveland Browns
7707,2014,7,61341.0,Cleveland Browns
7708,2014,8,67431.0,Cleveland Browns
7709,2014,9,67431.0,Cleveland Browns
7710,2014,10,65871.0,Cleveland Browns
7711,2014,11,67431.0,Cleveland Browns
7712,2014,12,70046.0,Cleveland Browns
7713,2014,13,68576.0,Cleveland Browns
7714,2014,14,67431.0,Cleveland Browns
7715,2014,15,67431.0,Cleveland Browns
7716,2014,16,73810.0,Cleveland Browns
7717,2014,17,71070.0,Cleveland Browns
7718,2014,1,91174.0,Dallas Cowboys
7719,2014,2,69143.0,Dallas Cowboys
7720,2014,3,58739.0,Dallas Cowboys
7721,2014,4,91176.0,Dallas Cowboys
7722,2014,5,91159.0,Dallas Cowboys
7723,2014,6,68432.0,Dallas Cowboys
7724,2014,7,91028.0,Dallas Cowboys
7725,2014,8,87055.0,Dallas Cowboys
7726,2014,9,85688.0,Dallas Cowboys
7727,2014,10,83603.0,Dallas Cowboys
7728,2014,11,67582.63539030563,Dallas Cowboys
7729,2014,12,80520.0,Dallas Cowboys
7730,2014,13,91379.0,Dallas Cowboys
7731,2014,14,61558.0,Dallas Cowboys
7732,2014,15,69596.0,Dallas Cowboys
7733,2014,16,91899.0,Dallas Cowboys
7734,2014,17,80897.0,Dallas Cowboys
7735,2014,1,76939.0,Denver Broncos
7736,2014,2,76900.0,Denver Broncos
7737,2014,3,68447.0,Denver Broncos
7738,2014,4,67582.63539030563,Denver Broncos
7739,2014,5,76895.0,Denver Broncos
7740,2014,6,78160.0,Denver Broncos
7741,2014,7,77047.0,Denver Broncos
7742,2014,8,76907.0,Denver Broncos
7743,2014,9,68756.0,Denver Broncos
7744,2014,10,54803.0,Denver Broncos
7745,2014,11,59401.0,Denver Broncos
7746,2014,12,76987.0,Denver Broncos
7747,2014,13,76894.0,Denver Broncos
7748,2014,14,76913.0,Denver Broncos
